songID,name,artists,link,popularity,danceability,energy,acousticness,instrumentalness,liveness,valence,genres,E_High,E_Avg,E_Low,A_High,A_Avg,A_Low,C_High,C_Avg,C_Low,N_High,N_Avg,N_Low,O_High,O_Avg,O_Low,userTotal
0Q0IVlqMV64kNLlwjPj0Hl,Killing Me Softly With His Song,"Fugees,Ms. Lauryn Hill",https://open.spotify.com/track/0Q0IVlqMV64kNLlwjPj0Hl,77,0.765,0.289,0.0268,1.77e-06,0.562,0.501,,0.5263157894736842,0.18421052631578946,0.2894736842105263,0.3684210526315789,0.5263157894736842,0.10526315789473684,0.3684210526315789,0.39473684210526316,0.23684210526315788,0.3157894736842105,0.4473684210526316,0.23684210526315788,0.34210526315789475,0.18421052631578946,0.47368421052631576,38
6Rqn2GFlmvmV4w9Ala0I1e,Feeling Good,Nina Simone,https://open.spotify.com/track/6Rqn2GFlmvmV4w9Ala0I1e,72,0.451,0.326,0.863,0.0,0.192,0.55,"soul, pop, singer-songwriter",0.4,0.26666666666666666,0.3333333333333333,0.6,0.2,0.2,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.4,0.3333333333333333,0.26666666666666666,0.6,0.2,0.2,15
7ACxUo21jtTHzy7ZEV56vU,Crazy Train,Ozzy Osbourne,https://open.spotify.com/track/7ACxUo21jtTHzy7ZEV56vU,76,0.454,0.913,0.408,0.000271,0.248,0.521,"metal, rock",0.4,0.4,0.2,0.3,0.4,0.3,0.4,0.4,0.2,0.3,0.3,0.4,0.2,0.0,0.8,10
4OROzZUy6gOWN4UGQVaZMF,The Trooper - 2015 Remaster,Iron Maiden,https://open.spotify.com/track/4OROzZUy6gOWN4UGQVaZMF,71,0.285,0.908,0.0318,0.00909,0.311,0.669,metal,0.375,0.375,0.25,0.375,0.25,0.375,0.375,0.375,0.25,0.25,0.5,0.25,0.0,0.5,0.5,8
7txxAtOMwLLnQTpKeBL6bp,Mother,Danzig,https://open.spotify.com/track/7txxAtOMwLLnQTpKeBL6bp,71,0.365,0.763,0.00726,0.000457,0.0865,0.342,"metal, rock, indie, pop",0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,3
3pKsUMqpVr4ZJ13Mm91Xig,Down for Life,Testament,https://open.spotify.com/track/3pKsUMqpVr4ZJ13Mm91Xig,59,0.344,0.955,5.4e-06,0.111,0.0665,0.352,metal,0.75,0.25,0.0,0.5,0.0,0.5,0.25,0.75,0.0,0.0,0.75,0.25,0.5,0.0,0.5,4
1hlveB9M6ijHZRbzZ2teyh,We're Not Gonna Take It,Twisted Sister,https://open.spotify.com/track/1hlveB9M6ijHZRbzZ2teyh,72,0.502,0.924,0.0127,0.0,0.162,0.922,"rock, metal, pop",0.25,0.375,0.375,0.375,0.5,0.125,0.25,0.625,0.125,0.375,0.25,0.375,0.375,0.125,0.5,8
7fcfNW0XxTWlwVlftzfDOR,Walk,Pantera,https://open.spotify.com/track/7fcfNW0XxTWlwVlftzfDOR,73,0.43,0.704,0.000155,0.00221,0.0933,0.703,"metal, rock",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,3
3CIOopLwvyMvXk97ZEksKO,Ace of Spades,Moțrhead,https://open.spotify.com/track/3CIOopLwvyMvXk97ZEksKO,71,0.322,0.991,0.00313,0.0035,0.0708,0.198,"metal, rock",0.75,0.0,0.25,0.25,0.25,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.25,0.0,0.75,4
2dU4FegjbgW5qkdrUdzogT,All We Are,Warlock,https://open.spotify.com/track/2dU4FegjbgW5qkdrUdzogT,49,0.495,0.835,0.00353,0.0,0.24,0.153,"metal, rock, singer-songwriter",1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
